"","","Game","Change watch time (mins)","Change stream time (mins)","Change peak viewers","Change peak channels","Change streamers","Change average viewers","Change average channels","Change average viewer ratio",""
"1","","Fortnite","54035333280","2402532060","1036700","10721","3068725","102819","4572","-14.57",""
"2","","Call of Duty: Black Ops 4","6422336340","238609200","474050","15825","463793","12220","454","26.92",""
"3","","World of Warcraft","5696452980","115508400","293784","4154","68130","10839","220","2.13",""
"4","","Overwatch","3372807360","98897820","213114","-75","60704","6417","188","-1.81",""
"5","","IRL","3245875500","44615940","4043","431","172850","6177","84","-7.07",""
"6","","Just Chatting","3034530120","29642160","130415","564","95159","5774","56","102.37",""
"7","","Tom Clancy's Rainbow Six Siege","2180057700","128855700","160385","909","254931","4149","245","-5.03",""
"8","","Sea of Thieves","1884203820","45173340","162779","2722","96599","3585","85","-54.13",""
"9","","Dead by Daylight","1753701720","79035420","94372","545","113708","3337","150","-8.19",""
"10","","Always On","1596523140","4631760","31668","0","153","3038","9","-106.45",""
