Year,Channel,Watch time (mins),Stream time (mins),Average viewers,Followers,Followers gained,Views gained,Language
2018.0,얍얍 (yapyap30),1040729055.0,162315.0,6411.0,329016.0,88604.0,20720798.0,Korean
2018.0,서새봄냥 (saddummy),992764920.0,191235.0,5190.0,657679.0,174911.0,21147728.0,Korean
2018.0,한동숙 (handongsuk),877308990.0,164880.0,5320.0,558073.0,128600.0,15084402.0,Korean
2018.0,따효니 (ddahyoni),677227230.0,103050.0,6571.0,364500.0,84214.0,10968887.0,Korean
2018.0,룩삼 (looksam),532558140.0,126615.0,4205.0,307819.0,86466.0,11293552.0,Korean
2018.0,Faker,509630175.0,23010.0,22147.0,3842918.0,521086.0,23516059.0,Korean
2018.0,김도 (kimdoe),504809460.0,131670.0,3833.0,318592.0,99151.0,12277610.0,Korean
2018.0,우왁굳 (woowakgood),459636315.0,135945.0,3380.0,957397.0,152466.0,12037505.0,Korean
2018.0,YoDa,1854831030.0,134010.0,13840.0,2399683.0,437744.0,52813677.0,Portuguese
2018.0,alanzoka,1395409935.0,91380.0,15269.0,6318416.0,1083884.0,33441445.0,Portuguese
2018.0,jukes,930066390.0,93315.0,9966.0,1788541.0,417945.0,27814261.0,Portuguese
2018.0,Gaules,881088270.0,344715.0,2555.0,3847490.0,403613.0,23865001.0,Portuguese
2018.0,SkipNhO,688735335.0,136035.0,5062.0,1252659.0,390852.0,23397084.0,Portuguese
2018.0,jovirone,632024835.0,105045.0,6016.0,1147622.0,264980.0,20732934.0,Portuguese
2018.0,CBLOL,623022600.0,51285.0,12147.0,1559165.0,139599.0,23547124.0,Portuguese
2018.0,gratis150ml,377270505.0,180855.0,2085.0,831155.0,145817.0,12925642.0,Portuguese
2018.0,Rakin,311008290.0,64860.0,4794.0,1614264.0,220180.0,11335812.0,Portuguese
2018.0,TheDarkness,299037120.0,93180.0,3208.0,699121.0,190040.0,10194139.0,Portuguese
2020.0,xQc,8847081540.0,215010.0,41146.0,11687934.0,5364951.0,132751155.0,English
2020.0,summit1g,6505033950.0,221550.0,29361.0,6167952.0,1696810.0,94561929.0,English
2020.0,ESL_CSGO,4786942590.0,518580.0,9230.0,5969718.0,892718.0,128514894.0,English
2020.0,NICKMERCS,4406970885.0,127065.0,34682.0,6658557.0,1691981.0,54622518.0,English
2020.0,loltyler1,4096418850.0,143265.0,28593.0,5180065.0,1059740.0,67469321.0,English
2020.0,Fextralife,4009993485.0,175785.0,22811.0,1480893.0,445534.0,720291870.0,English
2020.0,TimTheTatman,3427872990.0,106380.0,32222.0,7016611.0,1729529.0,56882290.0,English
2020.0,Asmongold,3316320495.0,76545.0,43324.0,3364117.0,549313.0,52747691.0,English
2020.0,Tfue,3147036030.0,137475.0,22891.0,11375370.0,2429948.0,73128517.0,English
2020.0,sodapoppin,3136184805.0,158025.0,19845.0,8833961.0,3359738.0,45684665.0,English
2020.0,풍월량 (hanryang1125),2371413705.0,176595.0,13428.0,606406.0,90603.0,38630141.0,Korean
2020.0,Riot_esports_Korea,2299170720.0,49080.0,46844.0,1384798.0,312613.0,86182524.0,Korean
2020.0,한동숙 (handongsuk),1549398615.0,137820.0,11241.0,558073.0,32721.0,31415487.0,Korean
2020.0,서새봄냥 (saddummy),1202649615.0,190965.0,6297.0,657679.0,63540.0,33168615.0,Korean
2020.0,괴물쥐123 (tmxk319),1004775315.0,127710.0,7867.0,844285.0,377402.0,22513535.0,Korean
2020.0,따효니 (ddahyoni),814193745.0,157890.0,5156.0,364500.0,50059.0,21117784.0,Korean
2020.0,침착맨 (zilioner),800185215.0,100485.0,7962.0,757286.0,132055.0,25853345.0,Korean
2020.0,녹두로 (nokduro),774409620.0,152040.0,5093.0,271411.0,106565.0,13977927.0,Korean
2020.0,우왁굳 (woowakgood),732657855.0,159015.0,4607.0,957397.0,200007.0,21157412.0,Korean
2020.0,김진우 (jinu6734),650282265.0,126960.0,5121.0,334955.0,84138.0,11074020.0,Korean
2020.0,Gaules,7720563330.0,517155.0,14928.0,3847490.0,1416066.0,136956383.0,Portuguese
2020.0,alanzoka,2538944430.0,104220.0,24360.0,6318416.0,1870473.0,58894703.0,Portuguese
2020.0,YoDa,1946966685.0,144030.0,13517.0,2399683.0,423257.0,43572136.0,Portuguese
2020.0,NOBRU,1636223115.0,70455.0,23223.0,3718864.0,2472631.0,14071155.0,Portuguese
2020.0,Cellbit,1413288615.0,105360.0,13413.0,2631483.0,1019647.0,30213894.0,Portuguese
2020.0,CBLOL,1306112925.0,36330.0,35950.0,1559165.0,342443.0,29707341.0,Portuguese
2020.0,Baiano,1283222505.0,110145.0,11649.0,826533.0,462094.0,28545771.0,Portuguese
2020.0,Rakin,971366190.0,162840.0,5964.0,1614264.0,595103.0,29521851.0,Portuguese
2020.0,jukes,736680300.0,95640.0,7702.0,1788541.0,386321.0,22629322.0,Portuguese
2020.0,JohnPitterTV,694818075.0,520335.0,1334.0,423910.0,231605.0,34469430.0,Portuguese
2020.0,Uzra,925532895.0,195825.0,4725.0,231471.0,42313.0,23633563.0,Chinese
2020.0,蝦愛橘子 (shuteye_orange),752274480.0,309690.0,2428.0,155363.0,21390.0,17972552.0,Chinese
2020.0,老皮 (mobilmobil),649130445.0,117315.0,5532.0,527422.0,31995.0,21334653.0,Chinese
2020.0,relaxing234,641065155.0,66765.0,9601.0,458171.0,100795.0,17806643.0,Chinese
2020.0,餐餐自由配 (blusewilly_retry),625309395.0,100695.0,6209.0,437688.0,38538.0,18944769.0,Chinese
2020.0,狂暴小建 (a541021),585396300.0,171285.0,3417.0,220965.0,17639.0,20564824.0,Chinese
2020.0,接接 (godjj),566776440.0,121965.0,4646.0,366098.0,17480.0,20045990.0,Chinese
2020.0,木棉花官方頻道 (muse_tw),522457770.0,515295.0,1013.0,228732.0,50275.0,11060263.0,Chinese
2020.0,嬌兔 (zrush),518979720.0,140775.0,3686.0,251960.0,45330.0,15458734.0,Chinese
2020.0,殺梗 (xargon0731),425712120.0,150195.0,2833.0,323362.0,20245.0,18747407.0,Chinese
