,,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Year,Language
1,,Just Chatting,2172186660,8130420,18418,53,841,4108,16,36.82,2020,Chinese
2,,Hearthstone,610291620,64740,-17760,-27,-806,1154,0,188.47,2020,Chinese
3,,Among Us,408996060,1131120,23949,64,1931,776,2,361.59,2020,Chinese
4,,League of Legends,372522300,-5551020,2435,22,-3945,688,-11,28.03,2020,Chinese
5,,Dead by Daylight,366964500,3429900,41060,36,934,695,7,23.58,2020,Chinese
6,,VALORANT,317176320,6763920,13227,78,5132,601,12,46.89,2020,Chinese
7,,Sports,211627860,68280,50730,4,53,401,0,3099.41,2020,Chinese
8,,Fitness & Health,183314400,38220,18588,-1,8,348,0,2576.79,2020,Chinese
9,,Slam Dunk,141478140,1137720,16991,16,566,268,2,124.35,2020,Chinese
10,,MapleStory,126642180,2255760,1817,12,386,240,4,11.73,2020,Chinese
